Author,Title,Edition/Printing,"# Copies",HB/PB,ISBN,Section,Year
"Albom, Mitch","Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",27,,HB,385484518,,
"Albou-Tabart, Sylvie et al.","Les Rois de France",,,PB,2013304811,French,2012S
"Alder, Ken","Measure of All Things",1,,HB,74321675X,,2012S
"Alegria, Claribel","Luisa en el Pais de la Realidad",,2,PB,9992349166,Spanish,
"Alexander, Meena","Fault Lines",,,PB,1558614543,,2012S
"Alexie, Sherman","Lone Ranger and Tonto Fist Fight in Heaven",4,,PB,802141676,,
"Ali, Agha Shahid","Country Without a Post Office",3,3,PB,393317617,,2011S
"Alinsky, Saul D.","Rules for Radicals",,,PB,679721134,,2011S
Al-Jabarti,"Napoleon in Egypt: Al-Jabarti's Chronicle of the French Occupation, 1798",3,,PB,1558763376,,2012S
"Allahyari, Rebecca Anne","Visions of Charity",1,5,PB,520221451,,
"Allen, Catherine","Hold Life Has",2,,PB,1588340325,,
"Allen, Garland","Biology: Scientific Process and Social Issues",1,2,PB,1891786091,,
"Allen, Reginald E.","Greek Philosophy Thales to Aristotle",3,,PB,29004950,,2011S
"Allen, William Sheridan","Nazi Seizure of Power: the Experience of a Single German Town 1922-1945",18,8,PB,531056333,,2011S
"Allende, Salvador","Salvador Allende Reader: Chile's Voice of Democracy",,2,PB,1876175249,,
"Allison, Graham & Philip Zelikow","Essence of Decision: Explaining the Cuban Missile Crisis",2,2,PB,321013492,,2012S
"Allison, Robert J.","Interesting Narrative of the Life of Olaudah Equiano Written by Himself with Related Documents",2,4,PB,312442033,,
"Allitt, Patrick","Religion in America Since 1945",1,,HB,231121547,,
"Almond, Gabriel A. & Russell J. Dalton & G. Bingham Powell Jr. & Kaare Strom","European Politics Today",3,,HB,321236521,,
"Alper, Joseph S. & Catherine Ard & Adrienne Asch & Jon Beckwith & Peter Conrad & Lisa N. Geller","Double-Edged Helix",1,,PB,801879264,,
"Al-Radi, Nuha","Baghdad Diaries",1,,PB,1400075254,,
"Al-Ramli, Muhsin","Scattered Crumbs",1,,PB,1557287503,,
"Altmann, Jeanne","Baboon Mothers and Infants",1,4,PB,226016072,Square,2010F
"Alvarez, Julia","How the Garcia Girls Lost Their Accent",5,,PB,452268060,,
"Alvarez, Julia","Once Upon a Quinceanera",1,,HB,452288304,,2011F
"Alvarez, Walter","T. Rex and the Crater of Doom",5,,PB,375702105,,
"Amado, Jorge","Dona Flor and Her Two Husbands",2,,PB,1852427108,,
"American Political Science Association Task Force on Inequality and American Democracy","American Democracy in an Age of Rising Inequality",,2,PB,1878147462,Miscellaneous,
"American Sport Education Program","Coaching Principles Classroom Study Guide",3,12,PB,736051767,Coaching,
"Ames-Lewis, Francis","Intellectual Life of the Early Renaissance Artist",2,,PB,300092950,,
"Amin, Qasim","Liberation of Women the New Woman",5,,PB,9774245671,,2012S
"Amore, Roy C. & Larry D. Shinn","Lustful Maidens and Ascetic Kings",5,,PB,195028392,,
"Anand, Mulk Raj",Untouchable,10,2,PB,140183957,,2011S
"Andersen, Margaret & Patricia Hill Collins","Race Class and Gender",4,3,PB,534568890,,
"Anderson, Chris","Forest of Voices",2,,PB,767411471,,
"Anderson, Elijah","Place on the Corner",6,,PB,226019543,,
"Anderson, Gail","Reinventing the Museum",,,PB,759101701,,
"Anderson, Linda",Autobiography,,,PB,415186358,,
"Anderson, Sarah & John Cavanagh & Thea Lee","Field Guide to the Global Economy",1,,PB,1565844211,,
"Anderson, Terry","Sovereign Nations or Reservations?",2,,HB,936488816,,
"Anderson, Terry L.","Free Market Environmentalism",1,,PB,312235038,,
"Andrews, William","Classic American Autobiographies",4,,PB,451529152,,2011S
"Andrews, William L. & Nellie Y. McKay","Toni Morrison's Beloved Casebook",4,,PB,195107977,,2011S
"Andric, Ivo","Bridge on the Drina",13,3,PB,226020452,Floor,2010F
"Andrzejewski, Jerzy","Holy Week: a Novel of the Warsaw Ghetto Uprising",1,3,PB,821417169,Floor,2010F
"Angeles, Peter A.","Harper Collins Dictionary of Philosophy",2,,PB,64610268,Reference,2011S
"Angell, Roger","Nothing But You",1,,PB,375751505,,
"Angeloni, Elvio","Annual Editions Anthropology 04/05",27,,PB,72862270,Anthropology,
"Angeloni, Elvio","Annual Editions Anthropology 07/08",30,4,PB,73516279,Anthropology,
"Angeloni, Elvio","Annual Editions Anthropology 08/09",31,,PB,73397547,Anthropology,
"Angeloni, Elvio","Anthropology 09/10",32,,PB,73397830,Anthropology,2011S
"Angelou, Maya","I Know Why the Caged Bird Sings",6,,HB,375507892,,
Anonymous,"A Woman in Berlin: Eight Weeks in the Conquered City",,,PB,312426118,,
"Anouilh, Jean",Antigone,,17,PB,2710300257,French,2012S
"Aparisi, Maria Cinta & Jose A. Blanco & Marcie D. Rinka","Revista Conversacion sin Barreras",2,,PB,1600071003,Spanish,2011F
"Apess, William","Son of the Forest and Other Writings",,2,PB,1558491074,,
Appian,"Civil Wars",16,,PB,140445091,,2010F
"Appleby, Joyce","Recollections of the Early Republic",1,3,HB,1555633027,Crate,2010F
"Aquinas, St. Thomas","Introduction to St. Thomas Aquinas",7,6,PB,75536536,,
"Aquinas, St. Thomas","Selected Philosophical Writings",9,4,PB,192835858,,
"Arah, Tom","Web Type Expert",,,PB,1586639668,,
"Arana, Alice A. & Oswaldo Arana","Workbook to Accompany Puntos de Partida",6,,PB,72382589,Floor,2011S
"Arana, Alice A. & Oswaldo Arana","Workbook to Accompany Puntos de Partida",7,6,PB,7295132X,Floor,2011S
"Arana, Alice A. & Oswaldo Arana","Workbook to Accompany Puntos de Partida",8,2,PB,73325589,BOX,2011S
"Archer, Christon","Wars of Independence in Spanish America",,2,PB,842024697,,
"Arends, Jacques, et al.","Pidgins and Creoles: An Introduction",,,PB,902725231,,
"Arendt, Hannah","Eichmann in Jerusalem",21,,PB,140187650,,
"Arendt, Hannah","Origins of Totalitarianism",,,PB,156701537,,
"Ariely, Dan","The Upside of Irrationality",,,HB,61995033,,
"Aries, Philippe","Centuries of Childhood",,2,PB,394702867,,
Aristophanes,Clouds,1,,PB,872205169,,
Aristophanes,"Four Comedies: Lysistrata, the Acharnians, the Congresswomen, the Frogs",23,,PB,472061526,,
Aristophanes,"Four Plays by Aristophanes: The Clouds, the Birds, Lysistrata, the Frogs",5,2,PB,452007178,,
Aristophanes,Lysistrata,7,,PB,45152895,,
Aristophanes,"Three Comedies: The Birds, the Clouds, the Wasps",24,3,PB,472061534,,
Aristotle,"Aristotle's Poetics",,7,PB,911589090,,2011S
Aristotle,"Introduction to Aristotle",6,4,PB,75536528,,
Aristotle,"Nicomachean Ethics",2,4,PB,872204642,,2011S
Aristotle,"On Poetry and Style",3,12,PB,872200728,Tutorial,2010F
Aristotle,"Poetics of Aristotle",5,,PB,807842036,,
"Ariyoshi, Sawako","River Ki",1,,PB,4770030002,,
"Ariyoshi, Sawako","Twilight Years",1,,PB,4770013523,,
"Armitage, David & Michael J. Braddick","British Atlantic World, 1500-1800",1,,PB,333963415,,
"Armstrong, Karen","Muhammad: A Prophet for Our Time",1,2,HB,60598972,,
"Armstrong, Karen","Muhammad: Biography of the Prophet",6,3,PB,62508867,,
"Arndt, Walter","Johann Wolfgang von Goethe's Faust",3,,PB,393972825,German,2010F
"Arnold, Dana","Art History: a Very Short Introduction",3,2,PB,192801813,,2012S
"Arnold, Dana","Art History: a Very Short Introduction",1,8,PB,192801813,,2012S
"Arnold, John H.","History a Very Short Introduction",16,2,PB,192853523,Crate,2011S
"Arnold, Roger A.",Economics,5,,HB,324017456,Economics,2010F
"Arnstein, Walter","Britain Yesterday and Today: 1830 to the Present",8,,PB,618001042,,
"Arnstein, Walter","Past Speaks: Sources and Problems in British History",2,,PB,669246026,,
"Aronson, Elliot","Nobody Left to Hate: Teaching Compassion after Columbine",4,4,PB,805070990,,
"Aronson, Elliot","Readings About the Social Animal",9,3,PB,716759667,,
"Arsuaga, Juan Luis & Ignacio Martinez","Chosen Species: Long March of Human Evolution",1,5,PB,1405115339,Anthropology,2012S
"Arsuaga, Juan Luis & Ignacio Martinez","Chosen Species: Long March of Human Evolution",2,,PB,1405115335,Anthropology,2011S
"Artaud, Antonin","Theatre and its Double",,,PB,714542342,,
Aruleius,"Golden Ass",27,,PB,253200369,,
"Asad, Muhammad","Message of the Qur-an",,,HB,,,
"Asad, Talal","On Suicide Bombing",3,,HB,231141529,,2011S
"Ashcraft, Mark H.",Cognition,3,4,HB,130307297,Psychology,
"Ashforth, Adam","Madumo: A Man Bewitched",2,,PB,226029727,,
"Aslan, Reza","No God But God",9,3,PB,812971897,,2011S
"Astell, Mary","Serious Proposal to the Ladies",,,PB,1551113066,,
"Atherton, Margaret","Women Philosophers of the Early Modern Period",2,3,PB,872202593,,2011S
"Atkinson, Jennifer","Drowned City",1,,PB,1555534546,,
"Attar, Farid Ud-Din","Conference of the Birds",5,,PB,140444343,,
"Atwan, Robert","America Now",3,,PB,312191820,,
"Atxaga, Bernardo","Esos Cielos",,,PB,8466321105,Spanish,
"Au, Susan","Ballet and Modern Dance",2,4,PB,500203520,,
"Auburn, David",Proof,1,,PB,571199976,,
"Augenbraum, Harold & Ilan Stavans","Lengua Fresca: Latino Writing on the Edge",1,,PB,618656707,,
"Augustine, Saint","City of God",41,,PB,38509101,,
"Augustine, Saint",Confessions,49,3,PB,140441147,,
"Augustine, Saint","Confessions of Saint Augustine",6,,PB,451527801,,
"Austen, Jane","Northanger Abbey",2,,PB,1551114798,,
"Austen, Jane","Pride and Prejudice",22,3,PB,140430725,,
"Austen, Jane","Sense and Sensibility",,2,PB,1853260162,,2011S
"Avellaneda, Gertrudis Gomez de",Sab,4,,PB,8437615941,Spanish,
"Axler, Sheldon","Linear Algebra Done Right",2,,PB,387982588,,2011S
"Ayer, Alfred Jules","Language, Truth and Logic",2,2,PB,486200108,,2011S
"Ayoub, Mahmoud","Islam Faith and History",,2,PB,185168350,,
"Ayres, Ed","God's Last Offer: Negotiating for a Sustainable Future",1,,PB,1568581742,,
"Azoulay, Katya Gibel","Black, Jewish, and Interracial",,2,PB,822319713,,
"Azuela, Mariano","Los de Abajo",5,2,PB,8437602262,Spanish,
"B., David",Epileptic,1,,HB,375423184,,
"Ba, Mariama","So Long a Letter",2,,PB,435905554,,
"Baase, Sara","Gift of Fire",2,5,PB,130082155,,
"Babbie, Earl","Practice of Social Research",8,,HB,534574742,"Social Texts",2011S
"Babbie, Earl","Practice of Social Research",9,,HB,534574742,"Social Texts",2011S
"Babbie, Earl","Practice of Social Research",12,2,HB,495598411,"Social Texts",2011S
"Bachelard, Gaston","Poetics of Space",7,,PB,807064733,,
"Baggini, Julian","Atheism: A Very Short Introduction",6,,PB,192804243,,
"Bailey, Garrick & James Peoples","Essentials of Cultural Anthropology",3,14,PB,534586260,Anthropology,2010F
"Bailey, Garrick & James Peoples","Essentials of Cultural Anthropology",4,,PB,534586260,Square,2010F
"Bailey, George",Germans,6,,PB,380001403,,2011S
"Bainbridge, Timothy","Penguin Companion to European Union",2,,PB,140268790,,
"Bainton, Roland H.","The Reformation of the Sixteenth Century",,,PB,807013014,,
"Baird, Forrest E. & Walter Kaufmann","From Plato to Derrida",4,,PB,130485616,,
"Baker, James A. III & Lee H. Hamilton","Iraq Study Group Report",1,,PB,307386564,,2011S
"Baker, Keith Michael","Old Regime and the French Revolution",1,,PB,226069508,,
"Baker, Kyle","Nat Turner",,,PB,810972278,,
"Baker, Lucia F. & Ruth Allen Bleuze & Laura L. B. Border & Carmen Grace & Janice Bertrand Owen & Ann Williams-Gascon","Cahier d'Exercices Oraux et ecrits",5,14,PB,72421509,Floor,2012S
"Baker, Lucia F. & Ruth Allen Bleuze & Laura L. B. Border & Carmen Grace & Janice Bertrand Owen & Ann Williams-Gascon","Cahier d'Exercices Oraux et ecrits",1,,PB,72421509,French,2012S
"Baker, Lucia F. & Ruth Allen Bleuze & Laura L. B. Border & Carmen Grace & Janice Bertrand Owen & Ann Williams-Gascon","Collage: Revision de Grammaire",5,10,PB,72343982,Floor,2012S
"Balashov, Yuri & Alex Rosenberg","Philosophy of Science Contemporary Readings",1,,PB,415257824,,
"Balikci, Asen","Netsilik Eskimo",15,3,PB,881334359,,
"Ball, Bill & David Pitts & John Goerzen et al.","Linux Unleashed: From Knowledge to Mastery",4,,PB,672316889,"Computer Science Texts",
"Ball, David","Backwards and Forwards: A Technical Manual for Reading Plays",,,PB,809311100,,2011S
"Balling, Rich","Revolution on Canvas",,,PB,974731609,,
"Balme, M.G. & J.H.W. Morwood","Cupid and Psyche",7,3,PB,199120471,Latin,
"Balme, Maurice & James Morwood","Oxford Latin Course Part I",2,5,PB,195212037,Floor,2011F
"Balme, Maurice & James Morwood","Oxford Latin Course Part II",2,7,PB,195212053,Floor,2011F
"Balme, Maurice & James Morwood","Oxford Latin Course Part III",2,6,PB,19521207X,Floor,2011F
"Balmer, Randall","Mine Eyes Have Seen the Glory",2,,PB,195300468,,2012S
Balzac,"Eugenie Grandet",,5,PB,2080711105,French,
Balzac,Sarrasine,,5,PB,2080705407,French,2010F
"Balzac, Honore de","Pere Goriot",4,2,PB,039397166X,,
"Banes, Sally","Reinventing Dance in the 1960s",1,,PB,029918014X,,
"Barak, Michael","Secret List of Heinrich Roehm",2,,HB,688029914,,2011S
"Barash, David P.","Approaches to Peace",7,,PB,195123867,,
"Barbour, John","Footprints on the Moon",,,HB,,,2011S
"Barca, Pedro Calderon de la","El Alcalde de Zalamea",,,PB,8437601215,Spanish,
"Barca, Pedro Calderon de la","El Medico de su Honra",,,PB,8470393898,Spanish,
"Bardach, Eugene","Practical Guide for Policy Analysis",3,,PB,872899520,,2012S
"Barker, Arthur E.","Milton Modern Essays in Criticism",2,,PB,,,
"Barker, David","33 1/3 Greatest Hits Volume 1",,,PB,826419038,,
"Barker, Emma","Contemporary Cultures of Display",3,,PB,300077831,,2011S
"Barker, Kathy","At the Bench: a Laboratory Navigator",5,,HB,879695234,Biology,
"Barkun, Michael","Culture of Conspiracy: Apocalyptic Visions in Contemporary America",1,,HB,520238052,,
"Barlas, Asma","""Believing Women"" in Islam: Unreading Partriarchal Interpretations of the Qur'an",,,PB,292709048,,
"Barley, Nigel","Innocent Anthropologist",5,,PB,1577661567,,
"Barlow, Connie","Evolution Extended",1,,PB,262023733,,
"Barlow, R.J.","Statistics: A Guide to the Use of Statistical Methods in the Physical Sciences",,,PB,471922951,Biology,
"Barman, Emily","Contesting Communities: The Transformation of Workplace Charity",6,7,PB,804754497,,
"Barmeyer, Niels","Developing Zapatista Autonomy",1,,PB,826345844,,2011S
"Barnet, Sylvan","Short Guide to Writing About Art",7,2,PB,321101448,,2012S
"Barnet, Sylvan","Short Guide to Writing About Art",8,,PB,321292480,,2012S
"Barnet, Sylvan","Short Guide to Writing About Art",9,2,PB,136138551,,2012S
"Barnhart, David K. & Allan A. Metcalf","America in So Many Words",1,,HB,395860202,,
"Barrett, C.K.","New Testament Background",1,2,PB,281042942,,2011S
"Barrett, C.K.","New Testament Background",2,4,PB,60608811,,2011S
"Barrett, Paul M.","American Islam: the Struggle for the Soul of a Religion",1,,HB,374104239,,
"Barringer, Tim","Reading the Pre-Raphaelites",1,,PB,300077874,,2011S
"Barros, Robert","Constitutionalism and Dictatorship",1,2,PB,052179658X,,
"Barry, J. Michael","Molecular Embryology: How Molecules Give Birth to Animals",1,5,PB,156032936X,Biology,
"Barth, Karl","On Religion",,,PB,567031098,,2011S
"Barthes, Roland","Empire of Signs",15,,PB,374522073,,
"Barthes, Roland","Roland Barthes",1,,PB,520087836,,
"Barton, Michael & Larry M. Logue","Civil War Soldier",2,4,PB,814798802,,
"Basso, Keith H.","Wisdom Sits in Places",10,6,PB,826317243,,2011F
"Basu, Kaushik","Prelude to Political Economy",1,,HB,198296712,,2012S
"Bates, Daniel","Human Adaptive Strategies",2,3,PB,205327680,,
"Bates, Robert H.","When Things Fell Apart",1,,PB,521715256,,2010F
"Bates, Stephen",Battleground,1,,PB,805035168,,
"Batnitzky, Leora","Leo Strauss and Emmanuel Levinas: Philosophy and the Politics of Revolution",1,,PB,521679354,,2011S
"Bauman, Richard","Folklore, Cultural Performances, and Popular Entertainments",1,2,PB,195069196,,
"Baumohl, Bernard","Secrets of Economic Indicators: Hidden Clues to Future Economic Trends and Investment Opportunities",1,,HB,13145501X,Economics,
"Bayly, Susan","Caste, Society and Politics in India",3,,PB,521678617,,2012S
"Baym, Nina","Norton Anthology of American Literature Volume A Beginnings to 1820",7,4,PB,393927393,"Literature Anthology",
"Baym, Nina","Norton Anthology of American Literature Volume C 1865-1914",,2,PB,393927415,"Literature Anthology",
"Beach, Sylvia","Shakespeare and Company",5,,PB,803260970,,
"Beal, Timothy K.","Religion and its Monsters",1,,PB,415925886,,
"Bear, Mark F. & Barry W. Connors & Michael A. Paradiso","Neuroscience Exploring the Brain",3,,HB,781760038,,2012S
"Beaty, Jerome & Alison Booth & J. Paul Hunter & Kelly J. Mays","Norton Introduction to Literature",8,5,HB,393976874,"Literature Anthology",
"Becker, Gay","Elusive Embryo",1,,PB,520224310,,
"Becker, Howard S.","Tricks of the Trade: How To Think About Your Research While You're Doing It",3,,PB,226041247,,2012S
"Becker, Jurek","Jacob the Liar",,2,PB,452281709,,2011S
"Becker, Jurek","Schlaflose Tage",14,,PB,3518371266,German,
"Becker, Penny Edgell & Nancy L. Eisland","Contemporary American Religion",2,,PB,761991964,,
"Becker, Wayne M. & Lewis J. Kleinsmith & Jeff Hardin","World of the Cell",6,3,HB,805346805,Crate,2011S
"Becker, Wayne M. & Lewis J. Kleinsmith & Jeff Hardin","World of the Cell",5,5,HB,805348522,Biology,2011S
"Becker, Wayne M. & Lewis J. Kleinsmith & Jeff Hardin","World of the Cell",4,,HB,805345310,Biology,2011F
"Beckerman, Wilfred","Poverty of Reason: Sustainable Development and Economic Growth",,3,PB,945999852,,2011S
"Beckett, Samuel","En Attendant Godot",,,PB,2707301485,French,
"Bedell, George & Leo Sandon Jr. & Charles T. Wellborn","Religion in America",1,,HB,23079207,,
"Beeman, William","""Great Satan"" vs. the ""Mad Mullahs""",2,,PB,226041476,,
"Begag, Azouz","Shanty-town Kid",1,,PB,803262582,,
"Behn, Aphra",Oroonoko,1,,PB,393970140,,
"Beik, Paul H.","French Revolution",1,,PB,,,
"Bell, Derrick","And We are Not Saved: The Elusive Quest for Racial Justice",,2,PB,465003297,,
"Bell, Derrick","Faces at the Bottom of the Well",2,,PB,465068146,,
"Bell, Inge & Bernard McGrane","This Book is Not Required",2,,PB,761985727,,
"Bell, Inge & Bernard McGrane & John Gunderson","This Book is Not Required",3,,PB,1412910110,,
"Bell, PMH","Origins of the Second World War in Europe",1,2,PB,582491126,,
"Bell, PMH","Origins of the Second World War in Europe",2,2,PB,582304709,,
"Belli, Gioconda","Inhabited Woman",1,,PB,446672068,,
"Belli, Gioconda","Inhabited Woman",2,,PB,29920684X,,
"Belli, Gioconda","La Mujer Habitada",1,,PB,8486597306,Spanish,2011F
"Bellomo, Michael","Exam Cram LSAT",1,,PB,789734141,,2011F
"Bellow, Saul","Dangling Man",11,,PB,140189351,,
"Bender, David L. & Bruno Leone","Genetic Engineering: Opposing Viewpoints",1,,PB,899084524,,
"Benedict, Ruth","Patterns of Culture",24,,PB,395083575,,
"Benedict, Saint","Rule of Saint Benedict",1,,PB,037570017X,,
"Benjamin, Don C. & Victor H. Matthews","Old Testament Parallels",1,,PB,809144352,,
"Benjamin, Jessica","Bonds of Love",1,,PB,394551338,,
"Benjamin, Jessica","Like Subjects, Love Objects",,,PB,300074301,,
"Benjamin, Thomas & Michael Horvit & Robert Nelson","Music for Analysis",3,,PB,534166741,Music,
"Benjamin, Thomas & Michael Horvit & Robert Nelson","Music for Analysis",5,3,PB,195155130,Music,
"Benjamin, Thomas & Michael Horvit & Robert Nelson","Techniques and Materials of Music",6,2,HB,534517595,Music,
"Bennett, H.S.","Six Medieval Men and Women",1,,PB,,,
"Bennett, Judith M. & C. Warren Hollister","Medieval Europe: A Short History",10,3,PB,72955155,,
"Bennett, W. Lance","News: the Politics of Illusion",7,,PB,321421612,,
"Bennis, Phyllis","Understanding the Palestinian-Israeli Conflict",2,,PB,,,
"Ben-Rafael, Eliezer","Crisis and Transformation: the Kibbutz at Century's End",1,2,PB,791432262,,
"Benshoff, Harry M. & Sean Griffin","America on Film",1,,PB,631225838,,
"Berdahl, Daphne","Where the World Ended",2,,PB,520214765,,
"Berger, John","Ways of Seeing",35,,PB,140135154,,
"Berger, Kathleen Stassen","Developing Person Through the Life Span",4,3,HB,1572591064,Psychology,
"Bergland, Renee L.","National Uncanny",1,,PB,874519446,,
"Bergmann, Barbara R.","Economic Emergence of Women",2,3,PB,312232438,,2011S
"Berkeley, George","Three Dialogues between Hylas and Philonous",4,,PB,915144611,,
"Bernanke, Ben S & Thomas Laubach & Frederic S. Mishkin & Adam S. Posen","Inflation Targeting",2,2,PB,691086893,,
"Bernardi, Daniel Leonard","Star Trek and History: Race-ing Toward a White Future",1,5,PB,813524660,,2010S
"Bernheim, Emmanuele",Stallone,,,PB,2070313360,French,
"Bernstein, Carl & Bob Woodward","All the President's Men",23,,PB,671894412,,
"Bernstein, Douglas A. & Louis A. Penner & Alison Clarke-Stewart & Edward J. Roy",Psychology,6,,HB,618213740,Psychology,
"Bernstein, Douglas A. & Louis A. Penner & Alison Clarke-Stewart & Edward J. Roy",Psychology,7,8,HB,618527184,Psychology,
"Bernstein, Douglas A. & Louis A. Penner & Alison Clarke-Stewart & Edward J. Roy",Psychology,8,,HB,618874070,Psychology,
"Bernstein, Douglas A. & Louis A. Penner & Alison Clarke-Stewart & Edward J. Roy","Psychology Instructor's Annotated Edition",6,,HB,618219900,Psychology,
"Bernstein, Elizabeth & Laurie Schaffner","Regulating Sex: the Politics of Intimacy and Identity",1,4,PB,41594869X,Square,2010F
"Best, Amy L.","Prom Night: Youth, Schools, and Popular Culture",1,,PB,415924278,,
"Beumers, Birgit","History of Russian Cinema",,,PB,1845202156,,2011S
"Bey, Maissa","Au Commencement Etait la Mer",,,PB,2876788403,French,
"Beyrer, Chris","War in the Blood",,2,PB,1856495329,,
"Bhagwati, Jagdish","In Defense of Globalization",1,,PB,195300033,,
"Bial, Henry","Performance Studies Reader",1,,PB,415302412,,
"Bianco, William T.","American Politics: Strategy and Choice",2,7,PB,393976106,,
"Bibby, John F.","Politics, Parties, and Elections in America",4,,PB,830415475,,
"Bierce, Ambrose","Civil War Stories",1,2,PB,486280381,,
"Bierce, Ambrose","Moonlit Road and Other Ghost and Horror Stories",1,,PB,486400565,,
"Bierhorst, John","Mythology of North America",1,,PB,195146239,,
"Billington, David P.","Tower and the Bridge",8,,PB,69102393X,,
"Binder, Frederick M. & David M. Reimers","Way We Lived Volume II: 1865-Present",4,3,PB,395959616,,
"Bingying, Xie","Woman Soldier's Own Story",1,,PB,231122500,,
"Bird, Robert","Andrei Rublev",,,PB,1844570386,,2011S
"Bird, Robert","Andrei Rublev",1,,PB,184457038X,,2011S
"Birkland, Thomas A.","Introduction to the Policy Process",2,,PB,765614898,,2012S
"Birkland, Thomas A.","Introduction to the Policy Process",3,,PB,765625328,,
Blackhawk,"Black Hawk: An Autobiography",6,,PB,252723252,,
"Black, Joseph et al.","Broadview Anthology of British Literature Volume 3 Restoration and the Eighteenth Century",1,,PB,15511609X,,
"Blackburn, Simon",Think,1,,HB,192100246,,
Blackhawk,"Black Hawk: An Autobiography",,2,PB,252723252,,
"Blaisdell, Bob","Great Speeches by Native Americans",,,PB,486411222,,
"Blake, William","Blake's Poetry and Designs",,,PB,393090833,,
"Blake, William","Songs of Innocence and Songs of Experience",,3,PB,486270513,,
"Blakely, Allison","Russia and the Negro",3,,PB,882581759,,
"Blanning, T.C.W.","Eighteenth Century",3,,PB,198731205,,
"Blanton, Richard E. & Stephen A. Kowalewski & Gary M. Feinman & Laura M. Finsten","Ancient Mesoamerica",2,3,PB,521446066,,
"Blau, Francine D. & Marianne A. Ferber & Anne E. Winkler","Economics of Women, Men, and Work",5,,PB,131851543,,2011F
"Blau, Francine D. & Marianne A. Ferber & Anne E. Winkler","Economics of Women, Men, and Work",4,,PB,13090922X,,2011F
"Blight, David W.","A Slave No More: Two Men who Escaped to Freedom, Including their Own Narratives of Emancipation",,,HB,151012329,,
"Blight, David W.","Race and Religion",1,2,PB,674008197,,
"Blinder, Alan S.","Central Banking in Theory and Practice",4,,PB,262522608,,
"Block, Alan A.","Occupied Reading",1,,PB,815319258,,
"Blocker, Jane","Seeing Witness: Visuality and the Ethics of Testimony",1,,PB,816654772,,
"Bloom, Allan","Closing of the American Mind",20,,PB,671657151,,
"Bloom, Stephen G.",Postville,1,4,PB,156013363,,
"Blount, Ben G.","Language, Culture, and Society",2,,PB,881338508,,
"Bluman, Allan G.","Elementary Statistics: a Step by Step Approach",4,2,HB,72316942,Mathematics,
"Bluman, Allan G.","Elementary Statistics: a Step by Step Approach",5,2,HB,72880716,Mathematics,
"Bly, Robert","American Poetry",1,,PB,60920823,,
